sample_id,intent,slots_json,linearized_input,reference_response,is_edge_case
133,return_request,"{""order_id"": ""1234"", ""item"": ""coffee maker"", ""reason"": ""wrong size"", ""pickup_date"": ""next Monday""}",intent=return_request order_id=1234 item=coffee maker reason=wrong size pickup_date=next Monday,I created a return request for coffee maker under order 1234 because wrong size; pickup is scheduled for next Monday.,True
109,return_request,"{""order_id"": ""7744"", ""item"": ""coffee maker and running shoes"", ""reason"": ""change of mind"", ""return_id"": ""RET2035""}",intent=return_request order_id=7744 item=coffee maker and running shoes reason=change of mind return_id=RET2035,A return has been created for coffee maker and running shoes in order 7744 because change of mind.,True
138,return_request,"{""order_id"": ""9812"", ""item"": ""running shoes and coffee maker"", ""reason"": ""change of mind"", ""method"": ""drop-off"", ""pickup_date"": ""tomorrow"", ""return_id"": ""RET2001""}",intent=return_request order_id=9812 item=running shoes and coffee maker reason=change of mind method=drop-off pickup_date=tomorrow return_id=RET2001,Your return request for running shoes and coffee maker from order 9812 is confirmed because change of mind via drop-off; pickup is scheduled for tomorrow.,True
10,order_status,"{""order_id"": ""5630"", ""status"": ""out for delivery"", ""tracking_id"": ""TRK9999""}",intent=order_status order_id=5630 status=out for delivery tracking_id=TRK9999,The status of order 5630 is out for delivery.,True
181,delivery_delay,"{""order_id"": ""9812"", ""eta"": ""7 May"", ""cause"": ""carrier issue"", ""carrier"": ""BlueDart"", ""compensation"": ""you are eligible for free shipping next time""}",intent=delivery_delay order_id=9812 eta=7 May cause=carrier issue carrier=BlueDart compensation=you are eligible for free shipping next time,Order 9812 is delayed and is now expected on 7 May because of carrier issue; you are eligible for free shipping next time.,False
127,return_request,"{""order_id"": ""7744"", ""item"": ""blue shirt"", ""reason"": ""wrong size"", ""pickup_date"": ""next Monday"", ""return_id"": ""RET2011""}",intent=return_request order_id=7744 item=blue shirt reason=wrong size pickup_date=next Monday return_id=RET2011,Your return request for blue shirt from order 7744 is confirmed because wrong size; pickup is scheduled for next Monday.,True
220,payment_status,"{""order_id"": ""7744"", ""payment_status"": ""successful"", ""amount"": ""₹1,249"", ""transaction_id"": ""TXN12345""}","intent=payment_status order_id=7744 payment_status=successful amount=₹1,249 transaction_id=TXN12345","The payment status of order 7744 is successful for ₹1,249 and transaction id is TXN12345.",True
197,delivery_delay,"{""order_id"": ""2481"", ""eta"": ""tomorrow"", ""cause"": ""weather disruption"", ""carrier"": ""Delhivery""}",intent=delivery_delay order_id=2481 eta=tomorrow cause=weather disruption carrier=Delhivery,The delivery for order 2481 has been delayed until tomorrow because of weather disruption.,True
267,payment_status,"{""order_id"": ""2481"", ""payment_status"": ""reversed"", ""amount"": ""₹2,999"", ""date"": ""today""}","intent=payment_status order_id=2481 payment_status=reversed amount=₹2,999 date=today","Payment for order 2481 is reversed for ₹2,999.",True
145,return_request,"{""order_id"": ""1234"", ""item"": ""running shoes"", ""reason"": ""duplicate order"", ""pickup_date"": ""3 May"", ""return_id"": ""RET2011""}",intent=return_request order_id=1234 item=running shoes reason=duplicate order pickup_date=3 May return_id=RET2011,Your return request for running shoes from order 1234 is confirmed because duplicate order; pickup is scheduled for 3 May.,True
180,delivery_delay,"{""order_id"": ""5630"", ""eta"": ""5 May"", ""cause"": ""high demand"", ""carrier"": ""BlueDart""}",intent=delivery_delay order_id=5630 eta=5 May cause=high demand carrier=BlueDart,Your order 5630 will arrive by 5 May because of high demand.,True
